time,signal
6.775411415100097656e+01,7.053123400077758258e-05
6.781605076789855957e+01,2.149161054108532777e-04
6.787219214439392090e+01,3.037761819614424549e-04
6.793612813949584961e+01,3.032702006115081065e-04
6.799838447570800781e+01,2.108205637959925487e-04
6.806204056739807129e+01,5.688034079824560551e-05
6.812588596343994141e+01,-1.057721871861883598e-04
6.818589949607849121e+01,-2.208598221546050370e-04
6.825184082984924316e+01,-2.484583325245609043e-04
6.831081056594848633e+01,-1.787361724643831925e-04
6.837587904930114746e+01,-3.485370073346292017e-05
6.843688035011291504e+01,1.357922317848763707e-04
6.849721097946166992e+01,2.786748507260307676e-04
6.856134986877441406e+01,3.513384907652216229e-04
6.862433576583862305e+01,3.377186743977374510e-04
6.868668055534362793e+01,2.524538316944002834e-04
6.874774932861328125e+01,1.338159804909640465e-04
6.881411862373352051e+01,2.810113159931925533e-05
6.887897586822509766e+01,-2.860713663137771283e-05
6.893500447273254395e+01,-2.450973989489179633e-05
6.900323295593261719e+01,2.329511223381472686e-05
6.906097602844238281e+01,7.564712777599098955e-05
6.912396407127380371e+01,8.748596429485020766e-05
6.918605065345764160e+01,2.755956176030867886e-05
6.924965238571166992e+01,-1.059771034089462740e-04
6.931358003616333008e+01,-2.808128644943280868e-04
6.938087272644042969e+01,-4.395431817725237666e-04
6.944128108024597168e+01,-5.200977533302049297e-04
6.949790883064270020e+01,-4.802251878930939100e-04
6.956001186370849609e+01,-3.165399556329398728e-04
6.962228178977966309e+01,-7.014682827882207778e-05
6.968618893623352051e+01,1.844503122653816949e-04
6.974891185760498047e+01,3.643113457003658781e-04
6.981125569343566895e+01,4.086740833011496534e-04
6.987218689918518066e+01,3.042912631397649598e-04
6.993522381782531738e+01,9.557997980900957615e-05
6.999842190742492676e+01,-1.256737045989667924e-04
7.006128382682800293e+01,-2.493328889832186401e-04
7.012953400611877441e+01,-1.859204960849954928e-04
7.018834471702575684e+01,9.752222342431194843e-05
7.025562739372253418e+01,5.577858405848241724e-04
7.031416177749633789e+01,1.080258737486461396e-03
7.037418150901794434e+01,1.508305602440817000e-03
7.043812799453735352e+01,1.689062506065058204e-03
7.050212788581848145e+01,1.521558510340935205e-03
7.056552481651306152e+01,9.917302782623698722e-04
7.062446045875549316e+01,1.826838670547687479e-04
7.069158220291137695e+01,-7.437225975792180347e-04
7.075472331047058105e+01,-1.588902877102971092e-03
7.081140494346618652e+01,-2.170856116247485684e-03
7.087376165390014648e+01,-2.373149497289827551e-03
7.093812775611877441e+01,-2.175344594045102668e-03
7.099975252151489258e+01,-1.656191575900171518e-03
7.106192207336425781e+01,-9.690447451368269837e-04
7.112355113029479980e+01,-2.972498483043815192e-04
7.118668723106384277e+01,1.969800239703278668e-04
7.125422716140747070e+01,4.153513537478400498e-04
7.131733727455139160e+01,3.463751198495724354e-04
7.137451028823852539e+01,6.317212516830251882e-05
7.143580174446105957e+01,-3.017666318283809801e-04
7.150023937225341797e+01,-5.968232447187624135e-04
7.156214547157287598e+01,-6.949619322090382773e-04
7.162646651268005371e+01,-5.289606954182961675e-04
7.168858337402343750e+01,-1.088682389991841876e-04
7.175117611885070801e+01,4.825690118296991878e-04
7.181633234024047852e+01,1.114583620041704982e-03
7.187545800209045410e+01,1.645599217713314150e-03
7.193604731559753418e+01,1.961984125027938473e-03
7.199822592735290527e+01,2.007242390511712170e-03
7.206165122985839844e+01,1.793784966897185671e-03
7.212376260757446289e+01,1.394939807225793792e-03
7.219280529022216797e+01,9.208349492386243762e-04
7.224847674369812012e+01,4.863347978485662898e-04
7.231610226631164551e+01,1.809392928301527010e-04
7.237812757492065430e+01,4.899604000364817690e-05
7.244182920455932617e+01,8.439551067321334594e-05
7.249788093566894531e+01,2.387955926690121539e-04
7.256013011932373047e+01,4.383867382768688115e-04
7.262390398979187012e+01,6.027091186394864649e-04
7.268812775611877441e+01,6.602684783663186584e-04
7.275029134750366211e+01,5.586430358736032935e-04
7.281382727622985840e+01,2.697878556724431220e-04
7.287675070762634277e+01,-2.071298224728330192e-04
7.293967008590698242e+01,-8.434229166942067927e-04
7.300202441215515137e+01,-1.579143086012527262e-03
7.306007957458496094e+01,-2.324248334240528596e-03
7.312405276298522949e+01,-2.966144158949650736e-03
7.318584465980529785e+01,-3.385961930390192672e-03
7.324736738204956055e+01,-3.482622956193323627e-03
7.330972123146057129e+01,-3.199465168383272898e-03
7.337535977363586426e+01,-2.545074783980021561e-03
7.343924331665039062e+01,-1.599894769210102223e-03
7.350419449806213379e+01,-5.038385674942654976e-04
7.356619119644165039e+01,5.735910959493554801e-04
7.362346768379211426e+01,1.472754437894108507e-03
7.368612694740295410e+01,2.081074304469341697e-03
7.374783968925476074e+01,2.356449620500706416e-03
7.381223082542419434e+01,2.329783277584857211e-03
7.387621283531188965e+01,2.086477445959995271e-03
7.393762350082397461e+01,1.733774719687765104e-03
7.400251078605651855e+01,1.365548113298212457e-03
7.406503200531005859e+01,1.036920366236480148e-03
7.412575840950012207e+01,7.574503885853855556e-04
7.419217014312744141e+01,5.045704673736081062e-04
7.424815511703491211e+01,2.509195856774926159e-04
7.431212735176086426e+01,-6.692702754581100104e-06
7.437421131134033203e+01,-2.302042638814706232e-04
7.443798565864562988e+01,-3.443865682892204429e-04
7.450180006027221680e+01,-2.630531671592443088e-04
7.456472826004028320e+01,7.100212518504307258e-05
7.462301754951477051e+01,6.474388183557325347e-04
7.469066238403320312e+01,1.367572240269607003e-03
7.474941921234130859e+01,2.052833252695717217e-03
7.481072425842285156e+01,2.484334672635487174e-03
7.487361574172973633e+01,2.464192864492007959e-03
7.493604874610900879e+01,1.880325831443012061e-03
7.499975848197937012e+01,7.531733212205689093e-04
7.506255316734313965e+01,-7.530730405640516205e-04
7.512517690658569336e+01,-2.361396839184785879e-03
7.518700003623962402e+01,-3.747907166707808990e-03
7.524828314781188965e+01,-4.623870782387788647e-03
7.531324458122253418e+01,-4.809441808447702249e-03
7.537758207321166992e+01,-4.277451317884000195e-03
7.543923830986022949e+01,-3.155319677338448529e-03
7.549980115890502930e+01,-1.686297063669981193e-03
7.556990337371826172e+01,-1.633905518544251324e-04
7.563697218894958496e+01,1.143447978528045394e-03
7.570171093940734863e+01,2.046188406278395041e-03
7.578001761436462402e+01,2.469464123789675766e-03
7.585010004043579102e+01,2.449127932882047380e-03
7.594262003898620605e+01,2.104208469014087757e-03
7.603458857536315918e+01,1.593879016428741266e-03
7.609998917579650879e+01,1.072494992266958061e-03
7.616573619842529297e+01,6.535993417457555427e-04
7.623034501075744629e+01,3.897293153148708475e-04
7.631399083137512207e+01,2.702836374405458370e-04
7.638331866264343262e+01,2.355266815132324660e-04
7.644960761070251465e+01,2.016298289304206052e-04
7.651125407218933105e+01,8.988591328452864826e-05
7.657430362701416016e+01,-1.470273325751207227e-04
7.665559506416320801e+01,-5.078482651340387273e-04
7.671836304664611816e+01,-9.387708434071041514e-04
7.678104996681213379e+01,-1.344223450773438617e-03
7.684625697135925293e+01,-1.610562521006780748e-03
7.690575003623962402e+01,-1.637252332651128496e-03
7.697190904617309570e+01,-1.367245433999067592e-03
7.704110002517700195e+01,-8.075773384529380625e-04
7.710424590110778809e+01,-3.350738682912196001e-05
7.718605804443359375e+01,8.256225994432957052e-04
7.724991035461425781e+01,1.615044557818481451e-03
7.731068658828735352e+01,2.189711959342967480e-03
7.737219834327697754e+01,2.446413161470670748e-03
7.743845796585083008e+01,2.344827923745676154e-03
7.749995255470275879e+01,1.913195416872191194e-03
7.756225299835205078e+01,1.238695401989734629e-03
7.762599992752075195e+01,4.463618475071109222e-04
7.768668746948242188e+01,-3.275816247388019437e-04
7.775002646446228027e+01,-9.618386924356782559e-04
7.781184053421020508e+01,-1.370669465583117556e-03
7.787631034851074219e+01,-1.516009014320979969e-03
7.793473792076110840e+01,-1.410027522094010714e-03
7.800177240371704102e+01,-1.108680684061107364e-03
7.806656885147094727e+01,-6.979487027928820428e-04
7.812774491310119629e+01,-2.753762089997460858e-04
7.818502473831176758e+01,6.965540429407865322e-05
7.824805831909179688e+01,2.730064903525074673e-04
7.831430101394653320e+01,3.066312585830074629e-04
7.837505793571472168e+01,1.810257334851482654e-04
7.843636655807495117e+01,-6.079952816210750611e-05
7.851009225845336914e+01,-3.558072931971274148e-04
7.859236979484558105e+01,-6.364272942205311413e-04
7.865680122375488281e+01,-8.450990671674094186e-04
7.872556948661804199e+01,-9.444086964121495070e-04
7.879434084892272949e+01,-9.208003770337074706e-04
7.887990951538085938e+01,-7.819019040582269285e-04
