time,signal
7.781184053421020508e+01,-2.705038510855963252e-01
7.787631034851074219e+01,-2.471112464578258117e-01
7.793473792076110840e+01,-2.243944514552299874e-01
7.800177240371704102e+01,-2.024928168634362591e-01
7.806656885147094727e+01,-1.815277961412004593e-01
7.812774491310119629e+01,-1.616024522101223715e-01
7.818502473831176758e+01,-1.428012351419110648e-01
7.824805831909179688e+01,-1.251900236675382860e-01
7.831430101394653320e+01,-1.088164198860674670e-01
7.837505793571472168e+01,-9.371028327085756393e-02
7.843636655807495117e+01,-7.988448707519267555e-02
7.851009225845336914e+01,-6.733587754718961538e-02
7.859236979484558105e+01,-5.604641398906982930e-02
7.865680122375488281e+01,-4.598446564646292006e-02
7.872556948661804199e+01,-3.710623969969138736e-02
